asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B0015A4U9G,A2MOVLZ429BFLZ,"aglowucannotsee ""aglowucannotsee""","[1, 1]","Not much to say, but this is an OEM motorola charger, good quality and very cheap.  Can't go wrong.",5.0,1286409600,"10 7, 2010","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,AOJ476ZZ81K42,Chris,"[0, 0]","I bought these specifically because they were the brand of my phone.  I have bought around 10 of these over the last year, most are still working as well as they ever have, a few I have broken because they are fragile and bad build quality.  They have always charged extremely slowly as well.  The last batch I bought actually makes my phone ""spaz"" out when it's charging.  They function, but be careful with them...and if the newer ones keep coming the same as the new ones I got...don't plan on using your touch screen while charging your phone...and if you use a Droid...you know you are almost always charging.",3.0,1362873600,"03 10, 2013","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,A3PF319KRS0HMY,Floridian Amazon User,"[0, 0]","The Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H worked for about a 8 months.  I left it plugged in and just connected or disconnected the phone.  It stopped working after about 6 months.  Too bad.  The cord was over 4 feet and, at least for me, the perfect size.",2.0,1392422400,"02 15, 2014","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,ADSBLGTMHO0DP,geezery,"[1, 1]","Use this as 'second' charger (at office) for droid pro works great. Leave one home and one at the office, phone is not far from a charger.",5.0,1296172800,"01 28, 2011","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,A3A9JCLAU5331U,"JACK&JEN ""J&J""","[0, 0]",Have a galaxy and this charger works better than my originaI charger that came in the box.Charges fasterDoesn't have an annoying habit of falling out of my phone or wall socket every time I move.Longer reachBetter connection - firm fit into the micro usb port.For gds sake! Stop reading a review on a 5 dollar charger! it works fine and won't fry your phone,5.0,1353369600,"11 20, 2012","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,A1UWP9673128VD,Jef A. Osborne,"[0, 0]","These seem to have a very low build quality.  However, they are charging the phones just fine.  Time will tell if they hold up or not.  So far so good.",3.0,1346976000,"09 7, 2012","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,AU9FAQKF3IC04,P.Broadnax,"[12, 13]","Longer cord than the OEM in the box. Works the same. Nuff said.---UPDATE -- July 12, 2010, for Clarification:Methinks I now understand the disparate reviews. At two different times, I ordered this item, each one from the same 3rd party merchant via Amazon. The first time, prompting my initial review (as well as 2nd order), I received SPN5334A. That is one of 3 listed at the Motorola site as compatible with the (original/Moto) Droid. The other two: SPN5338A (fast rate; looks identical to 5334A and pic above)and SPN5356A (different appearance: flat squarish adapter head).(Incidentally, I checked again-- the 5334A IS also compatible with the Droid X. Don't recall re the other two.)My later/2nd order yielded a charger which looked like the 5334A and 5338A, but it was a different model number. The merchant was great in terms of handling the return with a super-quick refund (while the item was in transit to them!), but the bottom-line is this: as soon as you receive your charger, from whomever, grab a magnifying glass. Turn the charger so that the two plugs face your chest, one under the other. Directly above where the cord attaches to the adapter, look for the model number.If it is not one of the stated 3 compatible model numbers, return it. Otherwise you definitely risk a fried Droid, with weird screen results (selections made without any input from you, screen rolling up and down spontaneously, etc). That's precisely why Verizon replaced my Droid, and the reason why I now always double-check the model number, to be absolutely SURE! As stated, you can't even trust the same merchant to get it right twice. It seems to be an easy mistake to make, since many of these chargers appear identical, at least, without magnifier in hand.Last point: even if the description gives you a model number, such as SPN5334A, double-check upon receipt!! Each time I purchased, the model number in the description read SPN5334A. First time, true; 2nd time, false. So, trust only you in the final analysis! (The description I see on this product description page today differs from that available when purchased.)----My Amazon Vine membership played no role here. I paid out of pocket, and would do so again, in a heartbeat!",5.0,1264982400,"02 1, 2010","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,A1V3THT691ROF3,PRB,"[1, 1]","I had a Motorola Droid and one of these OEM Motorola SPN5334A chargers that I loved, because the cord was so long, 6'. I gave my original Droid to my son when I got the new Samsung Droid Charge, but kept the charger.  I ordered more of these SPN5334A chargers to have in different parts of my house, and one for travel, and although when they came, each wrapped in a plastic bag with that number on the outside, one of the bags wasn't sealed, and inside it was one labeled SPN5356A, also a Motorola brand OEM charger.  Looked totally identical to the other.  I looked up the difference, and though the model on the Motorola website for the SPN 5356A has a different looking flatter plug end than the other, they both supposedly fully charge the phone in 3-5 hours, and on the droid forum I saw the comparison on, was told they could be interchanged.  I have tried both and they seem to work equally well, so I'm not sending it back.  Thought others might want to know in case they also receive one with a different model number like this.  Can't complain about the price!  And it arrived in a reasonable amount of time.  I like this dealer, SFPlanet, and have purchased from them before.  Whoever writes that it doesn't work with the Motorola Droid must have gotten a dud charger, because I used mine for a long time, and worked fine.",5.0,1310688000,"07 15, 2011","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,AX09GRCFAT0PY,SJAKSLEO,"[0, 0]","I am thankful to find a charger that will charge my older Motorola Rapture (VU30) phone, but I am so aggravated by the claim this is a Motorola product when indeed it is not.  Motorola is used throughout the Product Description without any mention of ""Motorola compatible"", so I expected to receive a Motorola branded charger.  It works, so I will keep the product and see how long it lasts.",2.0,1344988800,"08 15, 2012","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
B0015A4U9G,A3BKWA96ALPJAC,tammi,"[0, 0]",It works very good. And for the money it is a fairly great charger. It charges my phone and it don't take long either,5.0,1369785600,"05 29, 2013","Motorola Travel Charger for Motorola RAZR 2 V8, V9, V9M, Q9, and Q9H",3.99,http://ecx.images-amazon.com/images/I/41EJijJCB6L._SY300_.jpg,{'Cell Phones & Accessories': 135315},LG,"[['Cell Phones & Accessories', 'Accessories', 'Chargers', 'Travel Chargers']]"
