asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories,sentiment
B009A51Y10,A220E3KXVDBBD1,a2zmacpc,"[1, 2]",3M Natural View NV827748 Screen Protector for iPhone 5 - 1 Pack...3M Natural View NV827748 Screen Protector for iPhone 5 - 1 Pack...3M Natural View NV827748 Screen Protector for iPhone 5 - 1 Pack...,4.0,1355961600,"12 20, 2012",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,ASF0R1CMSF26F,A. Burke,"[0, 0]","Really, all you need in a screen protector is that it's clear and it's functional, and this iPhone screen protector from 3M delivers on that. The kit also has all the basics: a cloth to wipe the screen down before application, a card to press out bubbles, and, of course, the screen protector itself.Where this 3M screen protector earns points is in its application. It's simple, easy, and (amazingly) there were no bubbles. I always have trouble applying these screen protectors without getting lots of those annoying little bubbles, but somehow I didn't have that problem here. So, for mainly that reason, I'd have to recommend this screen protector above others.",5.0,1361059200,"02 17, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,ADLVFFE4VBT8,"A. Dent ""Aragorn""","[0, 0]",3Ms is one of the better screen protector. It's almost invisible during the day and it feels right to the touch but the slightest mistake can get you into trouble from little bubbles to misalignment and you will have to live with your mistakes because ONE protector is all you get so there's no second chance. Unless you can afford to buy more than one.I would recommend this if 'price' is not an issue and if you are good with your hands. And for as long as you are aware that these aren't going to last forever. Sooner or later dirt will creep under the edges because edges will begin the peel-off process and that a new one will be needed.,3.0,1360800000,"02 14, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",0.0
B009A51Y10,A19UTUEBWKIZFT,AKN,"[0, 0]","I took this to my phone store to have them apply it since I have been reading that it can be difficult to install.  They installed it perfectly for me.  Therefore I can't comment on the difficulty of installation but I know when I need expert help with something and in this case I got it.They applied it from the side edge, very slowly, and let it roll down onto the screen gently.It is bubble free.  I recommend taking it to your nearby phone store since they seem to know how to apply these.  It's a matter of practice makes perfect.  I didn't want any problems with this and know it can be tricky to apply these if you aren't experienced.This screen protector does what it is supposed to do, which is keep dirt, scratches and fingerprints off the screen, while not interfering with the function.  I highly recommend this for your iPhone.",5.0,1358640000,"01 20, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,A3OW12V8O7G5LD,"A. L. W. ""sweetbaker""","[0, 0]","This is a great place to start for screen protection. Easy glide, doesn't take awayat all from your retina resolution. Easy to put on, you won't even know it's there.",5.0,1359417600,"01 29, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,A2LAS014NSRW72,Amy Henry,"[0, 0]","This screen protector doesn't offer the privacy option, just an FYI. It does fit well with whichever case you use (I tried it on three) and you'll likely keep it from scratches down the road.  But won't the next Iphone be here before you have a chance to get scratches??  In any case, it seems a bit pricey for what you get.  It seems like something that should be provided with the product.Whatever you decide, check on prices.  You'll have no glare with this one, which is a plus, but still....$12 seems high.",3.0,1360454400,"02 10, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,A1XO76JVTDIRP8,"Amy Ong ""Amy Ong""","[0, 0]","Previously with my old iPhone 4, I bought cheap screen protectors, with the cost of 3 screen protectors costing less than $3. After putting that screen protector on, it always ended up having some minimal residue trapped air bubbles.With this 3M screen protector on the iPhone 5, it is possible not to have any residue air bubbles. And the material is thick and not flimsy like the one I used on my iPhone 4.However, the screen protector is close to an exact fit of iPhone 5 dimensions, and therefore I ended up having to remove and refit the screen protector at least 3 to 4 times. It is easy to remove and refit. But caution when having to do this multiple times as you may leave some slight fingerprints residue on the protector itself. Near some corners of my iPhone 5, I can see it is not properly sticking to the phone surface.This package comes only with 1 piece. So make sure your hands are cleaned when trying to use this screen protector.",4.0,1351036800,"10 24, 2012",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,A2MPXAJK3K61IY,B. Anderson,"[0, 0]","When I got this, there were *no* screen protectors for the iPhone 5 available via the Apple store, so I was really excited to get this one on (I'm pretty abusive to my phones). The package only includes a single protector, which was a bit of a letdown, but the quality of the protector is pretty nice - it's glossy and is barely noticeable once you get it on.Installation was a bit of a challenge.  I've done the screen-protector-installation dance before, and from a difficulty perspective, it's about a 6 out of 10 difficulty rating.  You definitely want to take your time installing it because if you mess up the one you get, you're going to have to buy another.Once installed, the protector looks good.  It's nice and glossy with very little distortion of the screen - you can hardly tell it's there.  The downside is that it gets marked up pretty easily. A few trips in my pocket with keys and it's ready to be replaced.  I was really hoping for a more durable protector, especially since it's from 3M.Overall, it's not bad, but if you have other options that are a bit more durable, I'd suggest going with an alternative.",3.0,1352937600,"11 15, 2012",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,A3T4OHEAHOJ700,B. Colonna,"[0, 0]","I have found that most screen protectors are about the same, with two exceptions, The Belkin Tru Clear and these, 3M's Natural View.  Most screen protectors are also cheaper than these two products.  The Belkin are a little more reasonable, as they come in a 3 pack for about $15, whereas this protector is one to a pack, so they cost about $12 each.I have found that sometimes you end up ruining one or more of the cheaper brands trying to apply them to a phone, and even with the Belkin, on occasion I've used two trying to get one on properly.  I've had some which came up after a few days and had to be replaced. I will say that the 3M Natural View went on easily and perfectly the first time, and seems to be on solid.So, while these are expensive compared to most, if you factor in time, and the occasional protector, wasted, they aren't necessarily that much more than some other brands.The box includes one protector and a cleaning cloth, both sealed in separate plastic packages.The process is the same as with just about any screen overlay.  Clean and dry the screen, make sure it is void of fingerprints, smudges etc. Line up the protector and viola!In the case of this protector, I found it slightly thicker than others, yet completely transparent and it laid flat against the phone without any real edge to collect dirt.  The phone was fully functional and the display perfect after application.Best of all, I had to do minimal smoothing to remove bubbles, whereas with other protectors this sometimes became a chore.I would suggest this screen protector for someone who doesn't mind spending a little more for a very high quality product.The price keeps it from being a '5'.",4.0,1359158400,"01 26, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
B009A51Y10,AIEEK7AHXKZCC,BeatleBangs1964,"[0, 0]","This screen protector does a good job of protecting your iPhone.  However, it is so clear that it is not easy to see in its package.  Even so, it works well and is very easy to put in place.",5.0,1362182400,"03 2, 2013",3M Natural View Screen Protector for the iPhone 5/5s/5c- Retail 1-Pack- Clear (NV827748),10.29,http://ecx.images-amazon.com/images/I/41xRQmZuWML._SY300_.jpg,{'Cell Phones & Accessories': 47435},3M,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]",1.0
